Graph (3072441, 117184899) Reading Done....!! took 37.6409
bValue is constant for each vertex
Input Processing Done: 0.151463
Initialization Done...!!
Start Matching3072441
Iteration: 1 2197662 0.140647
Iteration: 2 1864918 0.0965265
Iteration: 3 1564756 0.0918607
Iteration: 4 1304499 0.079609
Iteration: 5 1093196 0.0705291
Iteration: 6 923222 0.0607676
Iteration: 7 783732 0.0521848
Iteration: 8 668606 0.04613
Iteration: 9 573174 0.0406475
Iteration: 10 494145 0.0347309
Iteration: 11 427315 0.0298454
Iteration: 12 370978 0.02654
Iteration: 13 324013 0.0222208
Iteration: 14 283717 0.0197788
Iteration: 15 249659 0.0177028
Iteration: 16 219917 0.0159413
Iteration: 17 194797 0.0138933
Iteration: 18 173028 0.0125327
Iteration: 19 153853 0.0116092
Iteration: 20 137201 0.0105881
Iteration: 21 122782 0.0095443
Iteration: 22 110329 0.00860163
Iteration: 23 99075 0.0086379
Iteration: 24 89094 0.00775459
Iteration: 25 80102 0.00732252
Iteration: 26 71942 0.00702447
Iteration: 27 64768 0.00660966
Iteration: 28 58595 0.00472259
Iteration: 29 52780 0.00471958
Iteration: 30 47521 0.00429584
Iteration: 31 42879 0.00427118
Iteration: 32 38951 0.00418935
Iteration: 33 35113 0.00415943
Iteration: 34 31858 0.00383645
Iteration: 35 28865 0.00392011
Iteration: 36 26075 0.00404056
Iteration: 37 23577 0.00354202
Iteration: 38 21269 0.00352165
Iteration: 39 19232 0.00337788
Iteration: 40 17371 0.00322775
Iteration: 41 15813 0.00321506
Iteration: 42 14373 0.00313736
Iteration: 43 12989 0.00310657
Iteration: 44 11703 0.00305673
Iteration: 45 10623 0.0032423
Iteration: 46 9563 0.00322118
Iteration: 47 8714 0.00311286
Iteration: 48 7897 0.00327534
Iteration: 49 7134 0.00304164
Iteration: 50 6533 0.00292346
Iteration: 51 5868 0.00283182
Iteration: 52 5332 0.00288847
Iteration: 53 4854 0.00305957
Iteration: 54 4360 0.00299088
Iteration: 55 3948 0.00294153
Iteration: 56 3569 0.00291671
Iteration: 57 3221 0.00273029
Iteration: 58 2876 0.00285777
Iteration: 59 2612 0.00276603
Iteration: 60 2348 0.00271554
Iteration: 61 2126 0.00275755
Iteration: 62 1938 0.00288173
Iteration: 63 1741 0.0026355
Iteration: 64 1564 0.00277607
Iteration: 65 1394 0.00244053
Iteration: 66 1246 0.00198218
Iteration: 67 1094 0.00267003
Iteration: 68 981 0.00242051
Iteration: 69 901 0.00203443
Iteration: 70 814 0.00237707
Iteration: 71 723 0.00249798
Iteration: 72 650 0.00221142
Iteration: 73 578 0.00208492
Iteration: 74 514 0.00196243
Iteration: 75 455 0.00234532
Iteration: 76 403 0.00195645
Iteration: 77 372 0.00188156
Iteration: 78 332 0.00189083
Iteration: 79 303 0.00176059
Iteration: 80 265 0.00153398
Iteration: 81 241 0.00154866
Iteration: 82 211 0.00187808
Iteration: 83 192 0.00171184
Iteration: 84 175 0.00144448
Iteration: 85 154 0.00121279
Iteration: 86 134 0.00107732
Iteration: 87 120 0.000912127
Iteration: 88 111 0.000838657
Iteration: 89 96 0.000750857
Iteration: 90 86 0.000637567
Iteration: 91 68 0.000594617
Iteration: 92 64 0.000558548
Iteration: 93 57 0.000491808
Iteration: 94 54 0.000432978
Iteration: 95 49 0.000472647
Iteration: 96 40 0.000402088
Iteration: 97 36 0.000308859
Iteration: 98 32 0.000307699
Iteration: 99 29 0.000284959
Iteration: 100 28 0.000268289
Iteration: 101 27 0.000277138
Iteration: 102 24 0.000249949
Iteration: 103 20 0.000259699
Iteration: 104 19 0.000227729
Iteration: 105 17 0.000180079
Iteration: 106 14 0.000183309
Iteration: 107 14 0.000160009
Iteration: 108 14 0.0001754
Iteration: 109 13 0.000212099
Iteration: 110 12 0.000176129
Iteration: 111 11 0.000158689
Iteration: 112 10 0.00015879
Iteration: 113 9 0.000155509
Iteration: 114 8 0.000139389
Iteration: 115 5 0.00013264
Iteration: 116 4 0.000122309
Iteration: 117 4 0.00012313
Iteration: 118 3 0.000128399
Iteration: 119 3 0.00012296
Iteration: 120 3 0.00012241
Iteration: 121 3 0.00013476
Iteration: 122 2 0.00012409
Iteration: 123 2 0.000117309
Iteration: 124 1 0.00012753
Iteration: 125 1 0.000111909
Iteration: 126 0 0.00011433
Matching Done....!!
# of Iteration: 126
Initialization Time: 0.00252499
Matching Time: 1.12789
Total Time: 1.13042
Matching Weight: 4.39676e+06
General Matching Verified..!!
